ID,MaterialPartNo,BysoftMaterialCode,SolidWorksMaterialCode,Thickness,Gauge,ScrapFactor,Pounds,SheetMajor,SheetMinor
66,SM-STNL-0747-08,SS309-#4,Stainless Steel (309 #4),0.0747,14GA,1.27,3.154,"",""
67,SM-STNL-0747-13,SS316-2B,Stainless Steel (316 2B),0.0747,14GA,1.27,3.154,"",""
68,SM-STNL-0747-14,SS316-#4,Stainless Steel (316 #4),0.0747,14GA,1.27,3.154,"",""
69,SM-STNL-1046-01,SS304-2B,Stainless Steel (304 2B),0.1046,12GA,1.2,4.427,"",""
70,SM-STNL-1046-02,SS304-#4,Stainless Steel (304 #4),0.1046,12GA,1.2,4.427,"",""
71,SM-STNL-1046-07,SS309-2B,Stainless Steel (309 2B),0.1046,12GA,1.2,4.427,"",""
72,SM-STNL-1046-13,SS316-2B,Stainless Steel (316 2B),0.1046,12GA,1.2,4.427,"",""
73,SM-STNL-1046-14,SS316-#4,Stainless Steel (316 #4),0.1046,12GA,1.2,4.427,"",""
74,SM-STNL-1196-01,SS304-2B,Stainless Steel (304 2B),0.1196,11GA,1.23,5.04,"",""
75,SM-STNL-1196-02,SS304-#4,Stainless Steel (304 #4),0.1196,11GA,1.26128,5.04,"",""
76,SM-STNL-1196-07,SS309-2B,Stainless Steel (309 2B),0.1196,11GA,1.23,5.04,"",""
77,SM-STNL-1196-08,SS309-#4,Stainless Steel (309 #4),0.1196,11GA,1.23,5.04,"",""
78,SM-STNL-1196-13,SS316-2B,Stainless Steel (316 2B),0.1196,11GA,1.23,5.04,"",""
79,SM-STNL-1196-14,SS316-#4,Stainless Steel (316 #4),0.1196,11GA,1.23,5.04,"",""
80,SM-STNL-1345-01,SS304-2B,Stainless Steel (304 2B),0.1345,10GA,1.2,5.67,"",""
81,SM-STNL-1345-02,SS304-#4,Stainless Steel (304 #4),0.1345,10GA,1.2,5.67,"",""
82,SM-STNL-1345-07,SS309-2B,Stainless Steel (309 2B),0.1345,10GA,1.2,5.67,"",""
83,SM-STNL-1345-13,SS316-2B,Stainless Steel (316 2B),0.1345,10GA,1.2,5.67,"",""
84,SM-STNL-1793-01,SS304-2B,Stainless Steel (304 2B),0.1793,7GA,1.2,7.871,"",""
85,SM-STNL-2500-01,SS304-2B,Stainless Steel (304 2B),0.25,"1/4""",1.2,11.16,"",""
86,SM-STNL-2500-07,SS309-2B,Stainless Steel (309 2B),0.25,"1/4""",1.2,11.16,"",""
87,SM-STNL-2500-13,SS316-2B,Stainless Steel (316 2B),0.25,"1/4""",1.2,11.16,"",""
88,HDPOLY-SHEET .060,HD POLY,HD Poly (White),0.06,0.06,1.2,1,"",""
89,DHWARE-DS0002,LEXAN,Lexan (Clear),0.25,0.25,1.2,1,"",""
90,DHWARE-DS0003,LEXAN,Lexan (Clear),0.1875,0.1875,1.2,1,"",""
91,DHWARE-DS0007,LEXAN,Lexan (Clear),0.125,0.125,1.2,1,"",""
92,DHWARE-DS0005,LEXAN,Lexan (Clear),0.06,0.060,1.2,1,"",""
93,DHWARE-DS0004,LEXAN,Lexan (Smoked),0.125,0.125,1.2,1,"",""
94,HASCALL#0747G90MIN30KSI,GALVANIZED,Galvanized (G90/30KSI),0.0747,14GA,1.136,3.281,"",""
95,ALRO# 08204100,GALVANIZED,Galvanized Steel (GXX),0.1793,7GA,1.2,7.5,"",""
96,SM-MILD-3125-42,A36 PLATE,Mild Steel (A36),0.3125,5/16GA,1.2,12.76,"",""
97,HSLA-2500-50,HSLA,Mild Steel (HSLA),0.25,"1/4""",1.2,10.21,0,0
98,SM-STNL-1250-19,TREAD 304,Stainless Steel (304 2B Treadplate),0.125,"1/8""",1.2,6.15,"",""
99,SM-ALUM-1875-39,TREAD 3003,Aluminum (3003 Treadplate),0.1875,"3/16""",1.2,2.8125,96,0
100,SM-MILD-3125-42,A36 PLATE,Mild Steel (A36),0.3125,"5/16""",1.2,12.76,"",""
101,SM-MILD-2500-56,A572 PLATE,Mild Steel (A572),0.25,"1/4""",1.2,10.21,0,0
102,SM-MILD-1875-56,A5272 PLATE,Mild Steel (A572),0.1875,"3/16""",1.15,7.66,0,0
103,MMC# 8983K242,SS304-2B,Stainless Steel (304 2B),0.375,"3/8""",1.2,15.32,"",""
104,SM-MILD-3750-56,A572,Mild Steel (A572),0.375,"3/8""",1.2,15.32,"",""
105,SM-MILD-5000-56,A572,Mild Steel (A572),0.5,"1/2""",1.3,20.42,"",""
106,SM-MILD-3750-58,A656,Mild Steel (A656),0.375,"3/8""",1.72,15.32,"",0
108,SM-MILD-0747-60,A1011 GR50,Mild Steel (A1011 GR50),0.0747,14GA,1.204,3.125,"",""
109,SM-STNL-1875-01,SS304-2B,Stainless Steel (304 2B),0.1875,"3/16""",1.2,8.37,0,0
110,SM-MILD-6250-42,A36 PLATE,Mild Steel (A36),0.625,"5/8""",1.3,25.52,0,0
